Table ID,Table Title,Table Universe,5 Year Geography Restrictions (with Summary Levels in Parentheses)
B11001A,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (WHITE ALONE),Universe: Households with a householder who is White alone,Excludes Place/Remainder (070)
B11001B,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (BLACK OR AFRICAN AMERICAN ALONE),Universe: Households with a householder who is Black or African American alone,Excludes Place/Remainder (070)
B11001C,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Universe: Households with a householder who is American Indian and Alaska Native alone,Excludes Place/Remainder (070)
B11001D,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (ASIAN ALONE),Universe: Households with a householder who is Asian alone,Excludes Place/Remainder (070)
B11001E,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: Households with a householder who is Native Hawaiian and Other Pacific Islander alone,Excludes Place/Remainder (070)
B11001F,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (SOME OTHER RACE ALONE),Universe: Households with a householder who is Some other race alone,Excludes Place/Remainder (070)
B11001G,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (TWO OR MORE RACES),Universe: Households with a householder who is Two or more races,Excludes Place/Remainder (070)
B11001H,"HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (WHITE ALONE, NOT HISPANIC OR LATINO)","Universe: Households with a householder who is White alone, not Hispanic or Latino",Excludes Place/Remainder (070)
B11001I,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (HISPANIC OR LATINO),Universe: Households with a householder who is Hispanic or Latino,Excludes Place/Remainder (070)
B11002,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS,Universe: Population in households,Excludes Place/Remainder (070)
B11002A,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (WHITE ALONE),Universe: Population in households with a householder who is White alone,Excludes Place/Remainder (070)
B11002B,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (BLACK OR AFRICAN AMERICAN ALONE),Universe: Population in households with a householder who is Black or African American alone,Excludes Place/Remainder (070)
B11002C,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Universe: Population in households with a householder who is American Indian and Alaska Native alone,Excludes Place/Remainder (070)
B11002D,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (ASIAN ALONE),Universe: Population in households with a householder who is Asian alone,Excludes Place/Remainder (070)
B11002E,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: Population in households with a householder who is Native Hawaiian and Other Pacific Islander alone,Excludes Place/Remainder (070)
B11002F,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (SOME OTHER RACE ALONE),Universe: Population in households with a householder who is Some other race alone,Excludes Place/Remainder (070)
B11002G,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (TWO OR MORE RACES),Universe: Population in households with a householder who is Two or more races,Excludes Place/Remainder (070)
B11002H,"HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (WHITE ALONE, NOT HISPANIC OR LATINO)","Universe: Population in households with a householder who is White alone, not Hispanic or Latino",Excludes Place/Remainder (070)
B11002I,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (HISPANIC OR LATINO),Universe: Population in households with a householder who is Hispanic or Latino,Excludes Place/Remainder (070)
B11003,FAMILY TYPE BY PRESENCE AND AGE OF OWN CHILDREN UNDER 18 YEARS ,Universe: Families,Excludes Place/Remainder (070)
B11004,FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN UNDER 18 YEARS,Universe: Families,Excludes Place/Remainder (070)
B11005,HOUSEHOLDS BY PRESENCE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE,Universe: Households,Excludes Place/Remainder (070)
B11006,HOUSEHOLDS BY PRESENCE OF PEOPLE 60 YEARS AND OVER BY HOUSEHOLD TYPE,Universe: Households,Excludes Place/Remainder (070)
B11007,"HOUSEHOLDS BY PRESENCE OF PEOPLE 65 YEARS AND OVER, HOUSEHOLD SIZE AND HOUSEHOLD TYPE",Universe: Households,Excludes Place/Remainder (070)
B11008,COHABITING COUPLE HOUSEHOLDS BY PRESENCE AND AGE OF OWN CHILDREN UNDER 18 YEARS,Universe: Households,Excludes Place/Remainder (070)
B11009,COUPLED HOUSEHOLDS BY TYPE,Universe: Households,"United States (010), Region (020), Division (030), State (040)"
B11010,NONFAMILY HOUSEHOLDS BY SEX OF HOUSEHOLDER BY LIVING ALONE BY AGE OF HOUSEHOLDER,Universe: Nonfamily households,"Excludes Block Group (150,258,293,294)"
B11011,HOUSEHOLD TYPE BY UNITS IN STRUCTURE,Universe: Households,"Excludes Block Group (150,258,293,294)"
B11012,HOUSEHOLDS BY TYPE,Universe: Households,Excludes Place/Remainder (070)
B11013,SUBFAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS,Universe: Subfamilies,"Excludes Block Group (150,258,293,294)"
B11014,POPULATION IN SUBFAMILIES BY SUBFAMILY TYPE BY RELATIONSHIP,Universe: Population in subfamilies,"Excludes Block Group (150,258,293,294)"
B11015,HOUSEHOLDS BY PRESENCE OF NONRELATIVES,Universe: Households,Excludes Place/Remainder (070)
B11016,HOUSEHOLD TYPE BY HOUSEHOLD SIZE,Universe: Households,Excludes Place/Remainder (070)
B11017,MULTIGENERATIONAL HOUSEHOLDS,Universe: Households,"United States (010), State (040)"
B12001,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,Universe: Population 15 years and over,Excludes Place/Remainder (070)
B12002,SEX BY MARITAL STATUS BY AGE FOR THE POPULATION 15 YEARS AND OVER,Universe: Population 15 years and over,"Excludes Block Group (150,258,293,294)"
B12002A,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (WHITE ALONE),Universe: White alone population 15 years and over,"Excludes Block Group (150,258,293,294)"
B12002B,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),Universe: Black or African American alone population 15 years and over,"Excludes Block Group (150,258,293,294)"
B12002C,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Universe: American Indian and Alaska Native alone population 15 years and over,"Excludes Block Group (150,258,293,294)"
B12002D,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (ASIAN ALONE),Universe: Asian alone population 15 years and over,"Excludes Block Group (150,258,293,294)"
B12002E,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: Native Hawaiian and Other Pacific Islander alone population 15 years and over,"Excludes Block Group (150,258,293,294)"
B12002F,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (SOME OTHER RACE ALONE),Universe: Some other race alone population 15 years and over,"Excludes Block Group (150,258,293,294)"
B12002G,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (TWO OR MORE RACES),Universe: Two or more races population 15 years and over,"Excludes Block Group (150,258,293,294)"
B12002H,"SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","Universe: White alone, not Hispanic or Latino population 15 years and over","Excludes Block Group (150,258,293,294)"
B12002I,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (HISPANIC OR LATINO),Universe: Hispanic or Latino population 15 years and over,"Excludes Block Group (150,258,293,294)"
B12006,MARITAL STATUS BY SEX BY LABOR FORCE PARTICIPATION,Universe: Population 16 years and over,"Excludes Block Group (150,258,293,294)"
B12007,MEDIAN AGE AT FIRST MARRIAGE,Universe: Population 15 to 54 years,"United States (010), Region (020), Division (030), State (040), Congressional District (500)"
B12007A,MEDIAN AGE AT FIRST MARRIAGE (WHITE ALONE),Universe: White alone population 15 to 54 years,"United States (010), Region (020)"
B12007B,MEDIAN AGE AT FIRST MARRIAGE (BLACK OR AFRICAN AMERICAN ALONE),Universe: Black or African American alone population 15 to 54 years,"United States (010), Region (020)"
B12007C,MEDIAN AGE AT FIRST MARRIAGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Universe: American Indian and Alaska Native alone population 15 to 54 years,"United States (010), Region (020)"
B12007D,MEDIAN AGE AT FIRST MARRIAGE (ASIAN ALONE),Universe: Asian alone population 15 to 54 years,"United States (010), Region (020)"
B12007E,MEDIAN AGE AT FIRST MARRIAGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: Native Hawaiian and Other Pacific Islander alone population 15 to 54 years,"United States (010), Region (020)"
B12007F,MEDIAN AGE AT FIRST MARRIAGE (SOME OTHER RACE ALONE),Universe: Some other race alone population 15 to 54 years,"United States (010), Region (020)"
B12007G,MEDIAN AGE AT FIRST MARRIAGE (TWO OR MORE RACES),Universe: Two or more races population 15 to 54 years,"United States (010), Region (020)"
B12007H,"MEDIAN AGE AT FIRST MARRIAGE (WHITE ALONE, NOT HISPANIC OR LATINO)","Universe: White alone, not Hispanic or Latino population 15 to 54 years","United States (010), Region (020)"
B12007I,MEDIAN AGE AT FIRST MARRIAGE (HISPANIC OR LATINO),Universe: Hispanic or Latino population 15 to 54 years,"United States (010), Region (020)"
B12501,MARRIAGES IN THE LAST YEAR BY SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,Universe: Population 15 Years and over,"United States (010), Region (020), Division (030), State (040), Congressional District (500)"
B12502,MARRIAGES ENDING IN WIDOWHOOD IN THE LAST YEAR BY SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER ,Universe: Population 15 Years and over,"United States (010), Region (020), Division (030), State (040), Congressional District (500)"
B12503,DIVORCES IN THE LAST YEAR BY SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,Universe: Population 15 Years and over,"United States (010), Region (020), Division (030), State (040), Congressional District (500)"
B12504,MEDIAN DURATION OF CURRENT MARRIAGE IN YEARS BY SEX BY MARITAL STATUS FOR THE MARRIED POPULATION 15 YEARS AND OVER,Universe: Population 15 Years and Over Who Are Now Married or Separated,"United States (010), Region (020), Division (030), State (040), Congressional District (500)"
B12505,NUMBER OF TIMES MARRIED BY SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,Universe: Population 15 Years and Over,"United States (010), Region (020), Division (030), State (040), Congressional District (500)"
B13002,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND AGE,Universe: Women 15 to 50 years,"Excludes Block Group (150,258,293,294)"
B13002A,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (WHITE ALONE),Universe: White alone women 15 to 50 years,"Excludes Block Group (150,258,293,294)"
B13002B,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (BLACK OR AFRICAN AMERICAN ALONE),Universe: Black or African American alone women 15 to 50 years,"Excludes Block Group (150,258,293,294)"
B13002C,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Universe: American Indian and Alaska Native alone women 15 to 50 years,"Excludes Block Group (150,258,293,294)"
B13002D,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (ASIAN ALONE),Universe: Asian alone women 15 to 50 years,"Excludes Block Group (150,258,293,294)"
B13002E,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: Native Hawaiian and Other Pacific Islander alone women 15 to 50 years,"Excludes Block Group (150,258,293,294)"
B13002F,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (SOME OTHER RACE ALONE),Universe: Some other race alone women 15 to 50 years,"Excludes Block Group (150,258,293,294)"
B13002G,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (TWO OR MORE RACES),Universe: Two or more races women 15 to 50 years,"Excludes Block Group (150,258,293,294)"
B13002H,"WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)","Universe: White alone, not Hispanic or Latino women 15 to 50 years","Excludes Block Group (150,258,293,294)"
B13002I,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (HISPANIC OR LATINO),Universe: Hispanic or Latino women 15 to 50 years,"Excludes Block Group (150,258,293,294)"
B13004,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY PRESENCE OF SPOUSE OR UNMARRIED PARTNER,Universe: Women 15 to 50 years in households,"Excludes Block Group (150,258,293,294)"
B13008,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND NATIVITY,Universe: Women 15 to 50 years,"Excludes Block Group (150,258,293,294)"
B13010,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND POVERTY STATUS IN THE PAST 12 MONTHS,Universe: Women 15 to 50 years for whom poverty status is determined,"Excludes Block Group (150,258,293,294)"
B13012,WOMEN 16 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND LABOR FORCE STATUS,Universe: Women 16 to 50 years,"Excludes Block Group (150,258,293,294)"
B13014,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND EDUCATIONAL ATTAINMENT,Universe: Women 15 to 50 years,"Excludes Block Group (150,258,293,294)"
B13015,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND RECEIPT OF PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS,Universe: Women 15 to 50 years,"Excludes Block Group (150,258,293,294)"
B13016,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY AGE,Universe: Women 15 to 50 years,"Excludes Block Group (150,258,293,294)"
B14001,SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,Universe: Population 3 years and over,"Excludes Block Group (150,258,293,294)"
B14002,SEX BY SCHOOL ENROLLMENT BY LEVEL OF SCHOOL BY TYPE OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,Universe: Population 3 years and over,Excludes Place/Remainder (070)
B14003,SEX BY SCHOOL ENROLLMENT BY TYPE OF SCHOOL BY AGE FOR THE POPULATION 3 YEARS AND OVER,Universe: Population 3 years and over,"Excludes Block Group (150,258,293,294)"
B14004,SEX BY COLLEGE OR GRADUATE SCHOOL ENROLLMENT BY TYPE OF SCHOOL BY AGE FOR THE POPULATION 15 YEARS AND OVER,Universe: Population 15 years and over,"Excludes Block Group (150,258,293,294)"
B14005,SEX BY SCHOOL ENROLLMENT BY EDUCATIONAL ATTAINMENT BY EMPLOYMENT STATUS FOR THE POPULATION 16 TO 19 YEARS,Universe: Population 16 to 19 years,Excludes Place/Remainder (070)
B14006,POVERTY STATUS IN THE PAST 12 MONTHS BY SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,Universe: Population 3 years and over for whom poverty status is determined,"Excludes Block Group (150,258,293,294)"
B14007,SCHOOL ENROLLMENT BY DETAILED  LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,Universe: Population 3 years and over,Excludes Place/Remainder (070)
B14007A,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE),Universe: White alone population 3 years and over,Excludes Place/Remainder (070)
B14007B,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),Universe: Black or African American alone population 3 years and over,Excludes Place/Remainder (070)
B14007C,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Universe: American Indian and Alaska Native alone population 3 years and over,Excludes Place/Remainder (070)
B14007D,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (ASIAN ALONE),Universe: Asian alone population 3 years and over,Excludes Place/Remainder (070)
B14007E,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: Native Hawaiian and Other Pacific Islander alone population 3 years and over,Excludes Place/Remainder (070)
B14007F,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (SOME OTHER RACE ALONE),Universe: Some other race alone population 3 years and over,Excludes Place/Remainder (070)
B14007G,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (TWO OR MORE RACES),Universe: Two or more races population 3 years and over,Excludes Place/Remainder (070)
B14007H,"SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","Universe: White alone, not Hispanic or Latino, population 3 years and over",Excludes Place/Remainder (070)
B14007I,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (HISPANIC OR LATINO),Universe: Hispanic or Latino population 3 years and over,Excludes Place/Remainder (070)
B15001,SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER,Universe: Population 18 years and over,"Excludes Block Group (150,258,293,294)"
B15002,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,Universe: Population 25 years and over,Excludes Place/Remainder (070)
C15002A,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (WHITE ALONE),Universe: White alone population 25 years and over,"Excludes Block Group (150,258,293,294)"
C15002B,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),Universe: Black or African American alone population 25 years and over,"Excludes Block Group (150,258,293,294)"
C15002C,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Universe: American Indian and Alaska Native alone population 25 years and over,"Excludes Block Group (150,258,293,294)"
C15002D,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (ASIAN ALONE),Universe: Asian alone population 25 years and over,"Excludes Block Group (150,258,293,294)"
C15002E,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: Native Hawaiian and Other Pacific Islander alone population 25 years and over,"Excludes Block Group (150,258,293,294)"
C15002F,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (SOME OTHER RACE ALONE),Universe: Some other race alone population 25 years and over,"Excludes Block Group (150,258,293,294)"
C15002G,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (TWO OR MORE RACES),Universe: Two or more races population 25 years and over,"Excludes Block Group (150,258,293,294)"
C15002H,"SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","Universe: White alone, not Hispanic or Latino population 25 years and over","Excludes Block Group (150,258,293,294)"
C15002I,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (HISPANIC OR LATINO),Universe: Hispanic or Latino population 25 years and over,"Excludes Block Group (150,258,293,294)"
B15003,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,Universe: Population 25 years and over,Excludes Place/Remainder (070)
C15010,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR FOR THE POPULATION 25 YEARS AND OVER,Universe: Population 25 years and over with a Bachelor's degree or higher attainment,Excludes Place/Remainder (070)
C15010A,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER (WHITE ALONE),Universe: White alone population 25 years and over with a Bachelor's degree or higher attainment,Excludes Place/Remainder (070)
C15010B,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),Universe: Black or African American alone population 25 years and over with a Bachelor's degree or higher attainment,Excludes Place/Remainder (070)
C15010C,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Universe: American Indian and Alaska Native alone population 25 years and over with a Bachelor's degree or higher attainment,Excludes Place/Remainder (070)
C15010D,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER (ASIAN ALONE),Universe: Asian alone population 25 years and over with a Bachelor's degree or higher attainment,Excludes Place/Remainder (070)
C15010E,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: Native Hawaiian and Other Pacific Islander alone population 25 years and over with a Bachelor's degree or higher attainment,Excludes Place/Remainder (070)
C15010F,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER (SOME OTHER RACE ALONE),Universe: Some other race alone population 25 years and over with a Bachelor's degree or higher attainment,Excludes Place/Remainder (070)
C15010G,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER (TWO OR MORE RACES),Universe: Two or more races population 25 years and over with a Bachelor's degree or higher attainment,Excludes Place/Remainder (070)
C15010H,"FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","Universe: White alone, not Hispanic or Latino population 25 years and over with a Bachelor's degree or higher attainment",Excludes Place/Remainder (070)
C15010I,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER (HISPANIC OR LATINO),Universe: Hispanic or Latino population 25 years and over with a Bachelor's degree or higher attainment,Excludes Place/Remainder (070)
B15011,SEX BY AGE BY FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR FOR THE POPULATION 25 YEARS AND OVER,Universe: Population 25 years and over with a Bachelor's degree or higher attainment,Excludes Place/Remainder (070)
B15012,TOTAL FIELDS OF BACHELOR'S DEGREES REPORTED ,Universe: Population 25 years and over with a Bachelor's degree or higher attainment,Excludes Place/Remainder (070)
B16001,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER,Universe: Population 5 years and over,"United States (010), States (040), Metropolitan Division within Metropolitan Statistical Area (314), Combined Statistical Area (330), Congressional District (500), PUMA (795)"
C16001,LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER,Universe: Population 5 years and over,"Excludes Block Group (150,258,293,294)"
C16002,HOUSEHOLD LANGUAGE BY HOUSEHOLD LIMITED ENGLISH SPEAKING STATUS,Universe: Households,Excludes Place/Remainder (070)
B16003,AGE BY LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER IN LIMITED ENGLISH SPEAKING HOUSEHOLDS,"Universe: Population 5 years and over in households in which no one 14 and over speaks English only or speaks a language other than English at home and speaks English ""very well""","Excludes Block Group (150,258,293,294)"
B16004,AGE BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER,Universe: Population 5 years and over,Excludes Place/Remainder (070)
B16005,NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER,Universe: Population 5 years and over,"Excludes Block Group (150,258,293,294)"
B16005A,NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (WHITE ALONE),Universe: White alone population 5 years and over,"Excludes Block Group (150,258,293,294)"
B16005B,NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),Universe: Black or African American alone population 5 years and over,"Excludes Block Group (150,258,293,294)"
B16005C,NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Universe: American Indian and Alaska Native alone population 5 years and over,"Excludes Block Group (150,258,293,294)"
B16005D,NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (ASIAN ALONE),Universe: Asian alone population 5 years and over,"Excludes Block Group (150,258,293,294)"
B16005E,NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: Native Hawaiian and Other Pacific Islander alone population 5 years and over,"Excludes Block Group (150,258,293,294)"
B16005F,NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (SOME OTHER RACE ALONE),Universe: Some other race alone population 5 years and over,"Excludes Block Group (150,258,293,294)"
B16005G,NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (TWO OR MORE RACES),Universe: Two or more races population 5 years and over,"Excludes Block Group (150,258,293,294)"
B16005H,"NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)","Universe: White alone, not Hispanic or Latino population 5 years and over","Excludes Block Group (150,258,293,294)"
B16005I,NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (HISPANIC OR LATINO),Universe: Hispanic or Latino population 5 years and over,"Excludes Block Group (150,258,293,294)"
B16006,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (HISPANIC OR LATINO),Universe: Hispanic or Latino population 5 years and over,"Excludes Block Group (150,258,293,294)"
